addr	size	zone	nstores	stb	stw	sth	stfs	psq_st	stwu	ncallsites	name
0x80289EC8	396	MW	30	0	0	0	30	0	0	1	fn_80289EC8
0x8028A0F4	372	MW	20	0	5	0	15	0	0	2	fn_8028A0F4
0x8028A2A8	312	MW	20	0	5	0	15	0	0	3	fn_8028A2A8
0x8028A418	340	MW	20	0	5	0	15	0	0	9	fn_8028A418
0x8028A56C	332	MW	18	0	3	0	15	0	0	1	fn_8028A56C
0x8028A6F8	400	MW	30	0	5	0	25	0	0	1	fn_8028A6F8
0x8028A8C0	416	MW	30	0	5	0	25	0	0	13	fn_8028A8C0
0x80290A60	1080	MW	9	0	1	0	8	0	0	1	fn_80290A60
0x80290ED4	400	MW	20	0	5	0	15	0	0	27	fn_80290ED4
0x80291064	360	MW	18	0	3	0	15	0	0	52	fn_80291064
0x802911CC	520	MW	52	0	12	0	40	0	0	3	fn_802911CC
0x8029681C	156	MW	3	0	0	0	3	0	0	1	fn_8029681C
0x80296918	540	MW	22	0	0	0	22	0	0	1	fn_80296918
0x8029DCD0	524	MW	3	0	0	3	0	0	0	4	fn_8029DCD0
0x8029DEDC	728	MW	7	0	0	7	0	0	0	4	fn_8029DEDC
0x8029E1B4	600	MW	4	0	0	4	0	0	0	4	fn_8029E1B4
0x8029E40C	448	MW	2	0	0	2	0	0	0	2	fn_8029E40C
0x8029E5CC	644	MW	6	0	0	6	0	0	0	2	fn_8029E5CC
0x8029E850	524	MW	3	0	0	3	0	0	0	2	fn_8029E850
0x8029EA5C	448	MW	2	0	0	2	0	0	0	2	fn_8029EA5C
0x8029EC1C	524	MW	3	0	0	3	0	0	0	2	fn_8029EC1C
0x8029EE78	344	MW	2	0	0	2	0	0	0	6	fn_8029EE78
0x8029EFD0	296	MW	1	0	0	1	0	0	0	2	fn_8029EFD0
0x8029F0F8	432	MW	5	0	0	5	0	0	0	2	fn_8029F0F8
0x8029F2A8	344	MW	2	0	0	2	0	0	0	2	fn_8029F2A8
0x8029F400	296	MW	1	0	0	1	0	0	0	2	fn_8029F400
0x8029F528	344	MW	2	0	0	2	0	0	0	2	fn_8029F528
0x8029F680	492	MW	6	0	0	6	0	0	0	4	fn_8029F680
0x8029F86C	396	MW	3	0	0	3	0	0	0	4	fn_8029F86C
0x8029F9F8	348	MW	2	0	0	2	0	0	0	2	fn_8029F9F8
0x8029FB54	348	MW	2	0	0	2	0	0	0	1	fn_8029FB54
0x8029FCB0	348	MW	2	0	0	2	0	0	0	1	fn_8029FCB0
0x8029FE0C	496	MW	6	0	0	6	0	0	0	1	fn_8029FE0C
0x8029FFFC	400	MW	3	0	0	3	0	0	0	1	fn_8029FFFC
